field,cat
Law  ,Public and Social Services
Math,"Science, Math, and Technology"
"Social Science, Psychologist ",Social Sciences
"Medical Science, Pharmaceuticals, and Bio Tech ",Health and Medicine
Engineering  ,"Science, Math, and Technology"
English/Creative Writing/ Journalism ,Arts and Humanities
History/Religion/Philosophy ,Social Sciences
Business/Econ/Finance ,Business
"Education, Academia ",Social Sciences
Biological Sciences/Chemistry/Physics,"Science, Math, and Technology"
 Social Work ,Social Sciences
 Undergrad/undecided ,Other
Political Science/International Affairs ,Public and Social Services
Film,Arts and Humanities
Fine Arts/Arts Administration,Arts and Humanities
Languages,Arts and Humanities
Architecture,"Science, Math, and Technology"
Other,Other
